City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,taoudenni,22.6783,-3.9836,41.96,6,14,3.41,ML,1720468391
1,waitangi,-43.9535,-176.5597,8.23,82,100,1.34,NZ,1720468393
2,yellowknife,62.456,-114.3525,23.56,51,20,3.09,CA,1720468395
3,hirara,24.8,125.2833,26.92,94,4,3.09,JP,1720468398
4,port-aux-francais,-49.35,70.2167,2.29,85,9,14.57,TF,1720468401
5,edinburgh of the seven seas,-37.0676,-12.3116,11.67,62,98,8.67,SH,1720468403
6,margaret river,-33.95,115.0667,17.22,74,14,9.89,AU,1720468408
7,alice springs,-23.7,133.8833,9.75,100,100,0.0,AU,1720468410
8,grytviken,-54.2811,-36.5092,-1.44,76,10,4.94,GS,1720468412
9,san fernando de apure,7.8878,-67.4724,30.43,72,100,1.49,VE,1720468414
10,iqaluit,63.7506,-68.5145,6.85,87,100,3.09,CA,1720468417
11,cidreira,-30.1811,-50.2056,11.27,66,100,4.72,BR,1720468419
12,trenton,40.217,-74.7429,36.72,44,75,2.06,US,1720468374
13,cherdyn',60.403,56.4787,17.33,83,3,1.02,RU,1720468423
14,rongelap,11.1635,166.8941,27.99,80,45,7.62,MH,1720468425
15,uturoa,-16.7333,-151.4333,25.81,79,66,7.34,PF,1720468428
16,adamstown,-25.066,-130.1015,19.8,64,100,8.92,PN,1720468430
17,slonim,53.0867,25.3219,16.41,89,60,2.14,BY,1720468432
18,barth,54.3635,12.7249,17.22,73,88,0.87,DE,1720468434
19,blackmans bay,-43.0167,147.3167,7.63,92,100,2.69,AU,1720468436
20,sittwe,20.15,92.9,27.43,85,100,4.32,MM,1720468438
21,itamaraca,-7.7478,-34.8256,26.03,80,99,2.57,BR,1720468441
22,tazovsky,67.4667,78.7,10.02,76,6,5.27,RU,1720468443
23,hammerfest,70.6634,23.6821,10.25,81,75,4.63,NO,1720468445
24,alofi,-19.0595,-169.9187,20.94,78,75,7.2,NU,1720468447
25,utrik,11.2278,169.8474,27.85,79,22,8.0,MH,1720468449
26,izamal,20.9333,-89.0167,34.09,46,90,5.01,MX,1720468451
27,ndola,-12.9587,28.6366,14.71,24,18,1.11,ZM,1720468454
28,lupiro,-8.3833,36.6667,19.6,52,1,0.53,TZ,1720468456
29,ushuaia,-54.8,-68.3,3.79,70,20,8.75,AR,1720468231
30,new norfolk,-42.7826,147.0587,8.29,90,100,1.29,AU,1720468461
31,muroto-misakicho,33.2833,134.15,26.2,91,60,6.57,JP,1720468463
32,stanley,54.868,-1.6985,14.74,72,20,2.57,GB,1720468466
33,isafjordur,66.0755,-23.124,11.02,66,92,2.71,IS,1720468468
34,souillac,-20.5167,57.5167,22.21,78,20,2.06,MU,1720468471
35,puerto natales,-51.7236,-72.4875,5.25,75,20,2.57,CL,1720468473
36,kodiak,57.79,-152.4072,8.73,100,100,0.0,US,1720468475
37,shiyan,32.6475,110.7781,24.71,98,100,1.4,CN,1720468477
38,ribeira grande,38.5167,-28.7,24.22,88,75,10.29,PT,1720468481
39,albany,42.6001,-73.9662,32.73,52,88,1.65,US,1720468480
40,kirakira,-10.4544,161.9205,26.34,88,78,5.46,SB,1720468485
41,atafu village,-8.5421,-172.5159,28.2,81,100,7.93,TK,1720468487
42,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,2.0,RU,1720468489
43,qamdo,31.1667,97.2333,11.64,80,100,1.36,CN,1720468491
44,kenai,60.5544,-151.2583,12.86,93,100,4.12,US,1720468486
45,antalaha,-14.9003,50.2788,18.5,87,63,2.94,MG,1720468496
46,kiama,-34.6833,150.8667,13.65,88,100,2.24,AU,1720468498
47,happy valley-goose bay,53.3168,-60.3315,32.17,27,75,5.14,CA,1720468502
48,geraldton,-28.7667,114.6,17.23,82,20,6.17,AU,1720468505
49,tromso,69.6496,18.957,10.01,76,75,3.09,NO,1720468507
50,longyearbyen,78.2186,15.6401,5.91,70,75,6.17,SJ,1720468509
51,kodinsk,58.6881,99.1844,16.14,97,4,1.75,RU,1720468511
52,brisas de zicatela,15.8369,-97.0419,29.43,72,77,4.46,MX,1720468513
53,yuzhno-kurilsk,44.0306,145.8556,15.18,97,100,2.87,RU,1720468515
54,celestun,20.8667,-90.4,32.04,61,69,1.46,MX,1720468517
55,papatowai,-46.5619,169.4708,5.3,91,67,2.23,NZ,1720468520
56,eraan,9.0629,117.7016,25.74,89,100,1.76,PH,1720468522
57,khandyga,62.6667,135.6,15.59,68,8,0.66,RU,1720468524
58,fort st. john,56.2499,-120.8529,25.94,41,0,3.6,CA,1720468526
59,timmins,48.4669,-81.3331,24.9,73,75,3.09,CA,1720468485
60,crane,31.3974,-102.3501,32.56,34,31,5.68,US,1720468530
61,bredasdorp,-34.5322,20.0403,9.93,72,57,8.12,ZA,1720468532
62,st. john's,47.5649,-52.7093,24.82,83,59,1.79,CA,1720468252
63,east london,-33.0153,27.9116,13.42,43,1,12.12,ZA,1720468536
64,saldanha,-33.0117,17.9442,10.03,71,82,6.09,ZA,1720468538
65,bethel,41.3712,-73.414,34.09,56,40,2.06,US,1720468241
66,udachny,66.4167,112.4,19.14,62,99,5.85,RU,1720468542
67,labytnangi,66.6572,66.4183,15.23,57,66,1.76,RU,1720468545
68,college,64.8569,-147.8028,16.18,60,75,4.12,US,1720468547
69,isla mujeres,21.2311,-86.731,30.09,87,48,6.85,MX,1720468518
70,akureyri,65.6835,-18.0878,13.96,62,20,4.63,IS,1720468552
71,chernyshevskiy,63.0128,112.4714,14.71,81,100,1.94,RU,1720468554
72,constantia,44.1833,28.65,24.38,51,0,2.73,RO,1720468272
73,west island,-12.1568,96.8225,26.99,94,75,5.66,CC,1720468558
74,elko,41.0002,-115.5012,32.58,11,0,2.68,US,1720468337
75,srisailain,16.0833,78.8667,23.18,94,100,4.38,IN,1720468562
76,laguna,38.421,-121.4238,39.8,29,0,2.57,US,1720468564
77,aasiaat,68.7098,-52.8699,3.79,93,100,4.96,GL,1720468566
78,wotho,10.1657,166.0102,28.07,79,43,6.97,MH,1720468569
79,klyuchi,52.2667,79.1667,17.14,89,100,4.78,RU,1720468571
80,tiksi,71.6872,128.8694,9.72,61,0,1.69,RU,1720468573
81,nantucket,41.2835,-70.0995,27.86,100,99,4.58,US,1720468571
82,nar'yan-mar,67.6713,53.087,17.3,58,6,4.39,RU,1720468581
83,banda aceh,5.5577,95.3222,27.32,76,97,2.24,ID,1720468583
84,badiyah,22.45,58.8,30.21,55,25,2.93,OM,1720468585
85,vorgashor,67.5833,63.95,11.87,78,1,3.03,RU,1720468589
86,thompson,55.7435,-97.8558,25.09,38,75,4.63,CA,1720468591
87,touros,-5.1989,-35.4608,25.42,78,95,5.52,BR,1720468593
88,nova sintra,14.8667,-24.7167,24.59,89,100,3.83,CV,1720468595
89,gadzhiyevo,69.2551,33.3362,14.71,77,0,3.48,RU,1720468597
90,colonia,50.9333,6.95,20.63,65,0,1.54,DE,1720468599
91,lucapa,-8.4192,20.7447,20.57,20,23,0.78,AO,1720468601
92,nova vicosa,-17.8919,-39.3719,24.87,74,15,4.32,BR,1720468603
93,kingston,17.997,-76.7936,32.87,70,20,10.8,JM,1720468483
94,socorro,31.6546,-106.3033,32.92,33,20,3.6,US,1720468557
95,port mathurin,-19.6833,63.4167,22.58,78,80,2.46,MU,1720468610
